"subject","activity","FrequencyBodyAcc-mean()-X","FrequencyBodyAcc-mean()-Y","FrequencyBodyAcc-mean()-Z","FrequencyBodyAcc-std()-X","FrequencyBodyAcc-std()-Y","FrequencyBodyAcc-std()-Z","FrequencyBodyAccJerk-mean()-X","FrequencyBodyAccJerk-mean()-Y","FrequencyBodyAccJerk-mean()-Z","FrequencyBodyAccJerk-std()-X","FrequencyBodyAccJerk-std()-Y","FrequencyBodyAccJerk-std()-Z","FrequencyBodyAccMag-mean()","FrequencyBodyAccMag-std()","FrequencyBodyBodyAccJerkMag-mean()","FrequencyBodyBodyAccJerkMag-std()","FrequencyBodyBodyGyroJerkMag-mean()","FrequencyBodyBodyGyroJerkMag-std()","FrequencyBodyBodyGyroMag-mean()","FrequencyBodyBodyGyroMag-std()","FrequencyBodyGyro-mean()-X","FrequencyBodyGyro-mean()-Y","FrequencyBodyGyro-mean()-Z","FrequencyBodyGyro-std()-X","FrequencyBodyGyro-std()-Y","FrequencyBodyGyro-std()-Z","TimeBodyAcc-mean()-X","TimeBodyAcc-mean()-Y","TimeBodyAcc-mean()-Z","TimeBodyAcc-std()-X","TimeBodyAcc-std()-Y","TimeBodyAcc-std()-Z","TimeBodyAccJerk-mean()-X","TimeBodyAccJerk-mean()-Y","TimeBodyAccJerk-mean()-Z","TimeBodyAccJerk-std()-X","TimeBodyAccJerk-std()-Y","TimeBodyAccJerk-std()-Z","TimeBodyAccJerkMag-mean()","TimeBodyAccJerkMag-std()","TimeBodyAccMag-mean()","TimeBodyAccMag-std()","TimeBodyGyro-mean()-X","TimeBodyGyro-mean()-Y","TimeBodyGyro-mean()-Z","TimeBodyGyro-std()-X","TimeBodyGyro-std()-Y","TimeBodyGyro-std()-Z","TimeBodyGyroJerk-mean()-X","TimeBodyGyroJerk-mean()-Y","TimeBodyGyroJerk-mean()-Z","TimeBodyGyroJerk-std()-X","TimeBodyGyroJerk-std()-Y","TimeBodyGyroJerk-std()-Z","TimeBodyGyroJerkMag-mean()","TimeBodyGyroJerkMag-std()","TimeBodyGyroMag-mean()","TimeBodyGyroMag-std()","TimeGravityAcc-mean()-X","TimeGravityAcc-mean()-Y","TimeGravityAcc-mean()-Z","TimeGravityAcc-std()-X","TimeGravityAcc-std()-Y","TimeGravityAcc-std()-Z","TimeGravityAccMag-mean()","TimeGravityAccMag-std()"
1,"Walking",-0.41546378,-0.40259904,-0.43098331,-0.42342258,-0.43771207,-0.36801892,-0.44092133,-0.40271978,-0.42102192,-0.3521235,-0.425846775,-0.44458211,-0.44554785,-0.34002648,-0.42671341,-0.46328899,-0.4266712,-0.36004801,-0.38126644,-0.41768268,-0.431310445,-0.42441352,-0.43407399,-0.470906975,-0.49176804,-0.45369838,-0.34225675,-0.44079659,-0.46370024,-0.26312072,-0.16085877,-0.21771532,-0.440188795,-0.393307455,-0.42382736,-0.368836015,-0.37409268,-0.44704446,-0.37921508,-0.14526252,-0.327318705,-0.351953855,-0.43434526,-0.369106895,-0.42069386,-0.419966135,-0.46594106,-0.39306868,-0.2814511,-0.28303927,-0.352910095,-0.332989705,-0.225071315,-0.25125932,-0.39936344,-0.49782738,-0.20925775,-0.37097505,-0.31212436,-0.29362011,-0.20819493,-0.21598879,-0.32595393,-0.38223955,-0.47367033,-0.48223636
1,"Walking Upstairs",-0.68809534,-0.706897295,-0.70862555,-0.69321277,-0.68048296,-0.68225134,-0.57624886,-0.61540753,-0.79622035,-0.73991071,-0.66546329,-0.62705236,-0.77472391,-0.75058208,-0.72369017,-0.7137743,-0.7276128,-0.69201372,-0.68713574,-0.7431474,-0.6682289,-0.69161978,-0.60420569,-0.59917705,-0.66969121,-0.77959479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.75598105,-0.78358879,-0.76359517,-0.73871788,-0.5945809,-0.62284776,-0.69225517,-0.66266502,-0.60415752,-0.675217,-0.61997247,-0.59840377,-0.74620984,-0.70376348,-0.67522747,-0.68974531,-0.74680377,-0.69188287,-0.66594927,-0.66821927,NA,NA,NA,NA,NA,NA,-0.79093633,-0.79381781
1,"Walking Downstairs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.53467792,-0.31756213,-0.1508711,-0.32229578,-0.24068848,-0.41445103,-0.62720248,NA,NA,NA,NA,NA,NA,-0.611300945,-0.50150822,-0.182923001,-0.28172909,-0.305455995,-0.38861287,-0.41906476,-0.224942595,-0.319782655,-0.438024025,-0.41838518,-0.60864282,-0.031143601,-0.044155391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.52950882,NA,-0.35056062,-0.52256056,-0.30165319,-0.380116625,-0.57394702,-0.423321285,-0.48226554,-0.523045805,-0.57499607,-0.38259955
1,"Sitting",-0.99642101,-0.99565892,-0.99725922,-0.99822553,-0.99717794,-0.99708205,-0.99784862,-0.99796309,-0.99767112,-0.99754752,-0.99594383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.98941143,-0.99645562,-0.99544783,-0.996346,-0.99833703,NA,NA,NA,-0.99698683,-0.99697322,-0.900066445,-0.917314715,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.977801865,-0.997781005,-0.99828245,-0.989672645,-0.9955675,-0.997060165,-0.99751288,-0.99662878,-0.99657721,-0.99687718,-0.99674436,-0.99675764,-0.99668215,-0.972760985,-0.99313701
1,"Standing",NA,NA,NA,NA,-0.9873609,-0.99296605,-0.99303417,-0.97440969,-0.97862883,-0.9854609,-0.98753396,-0.99866977,-0.97892084,-0.99608061,-0.99835163,-0.99588211,-0.9982178,-0.99879781,-0.99649329,-0.99814739,-0.99104273,-0.99058841,-0.99881776,-0.99858433,-0.99640999,-0.98730567,-0.99444992,-0.996904735,-0.99653893,-0.99712521,-0.99546483,-0.9952387,-0.99905917,-0.99905443,-0.98927719,-0.99883527,-0.9984604,-0.99761851,NA,NA,NA,NA,-0.99819704,-0.99956029,-0.99915254,-0.99888625,-0.9985402,-0.9990231,-0.99886745,-0.99900752,-0.99865929,NA,NA,NA,NA,NA,NA,NA,-0.99463909,-0.99450684,-0.99600721,-0.99059941,-0.9892975,-0.99787507,NA,NA
1,"Laying",-0.67951417,-0.96379153,-0.96394777,-0.97162869,-0.99171566,-0.99239476,-0.99692411,-0.98760968,-0.98702526,-0.99196341,NA,-0.93054398,-0.99833283,-0.99909877,-0.99928455,-0.99845846,-0.90994766,-0.9872632,-0.99853391,-0.99840436,-0.99855628,-0.99834175,-0.99869335,-0.99936052,-0.99894755,-0.99870387,-0.64139664,-0.68522496,-0.92066111,-0.75641948,-0.49217599,-0.49043707,NA,NA,NA,-0.97784802,-0.99358222,-0.99827462,NA,NA,NA,NA,-0.99814199,-0.99796693,-0.99870183,-0.99832833,-0.99835482,-0.9973808,-0.99732244,-0.99860633,-0.99844385,NA,NA,NA,NA,-0.50669066,NA,NA,-0.89052661,-0.985195,-0.98187267,-0.99648845,-0.99705279,-0.99695369,NA,NA
2,"Walking",-0.7316334,-0.73590816,-0.70427724,-0.74091069,-0.7340308,-0.77878905,-0.74151003,-0.66545107,-0.65647207,-0.70020622,-0.60369357,-0.53985044,-0.602083215,-0.60926644,-0.60842216,-0.621271015,-0.56885628,-0.544358885,-0.607391695,-0.619410965,-0.60216826,-0.70343437,-0.75408305,-0.60747798,-0.56412202,-0.53937284,-0.532519565,-0.51507559,-0.5482138,-0.46985852,-0.37060417,-0.27487374,-0.30626024,-0.36739619,-0.4300849,-0.42570505,-0.40229075,-0.46488233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.74965418,NA,NA,-0.24676695,-0.29756978,-0.37931581,-0.45505261,-0.41891376,-0.30083643,NA,NA
2,"Walking Upstairs",-0.66052927,-0.67080343,-0.63948876,-0.63963199,-0.696385595,-0.66306289,-0.62808842,-0.554602295,-0.579317765,-0.582043305,-0.53420325,-0.55283289,-0.62337918,-0.63569599,-0.67962221,-0.69407081,NA,NA,-0.53178091,-0.49800598,-0.70851322,-0.7627257,-0.67429507,-0.5130883,-0.52291567,-0.5803871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.58827419,-0.54759219,-0.78358137,-0.60788256,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.74172245,-0.71299623,-0.75416494,-0.5311647,-0.58932267,-0.58621612,-0.59491486,NA,NA,NA,NA,NA,NA,-0.62667255,-0.61693432
2,"Walking Downstairs",-0.098111018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.58748933,-0.65830583,-0.62601994,-0.47155125,-0.5072222,-0.48105334,-0.57104221,-0.36505969,-0.2476846,-0.025643329,0.20368292,-0.074233524,-0.07289887,-0.416912405,-0.39030538,-0.44858551,-0.449956695,-0.3102939265,-0.2658732965,-0.181771245,-0.14329437,-0.47953055,-0.38011848,-0.34772334,-0.10665127,-0.29722309,-0.001719884,-0.019605638,-0.3624334,-0.63609065,-0.7441943,-0.62637336,-0.58692645,-0.58099339,-0.57361329,-0.086890187,-0.047616619
2,"Sitting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.99675132,-0.99809291,-0.99465498,-0.99297004,-0.99673267,-0.99643528,-0.99428905,-0.99582809,NA,NA,NA,NA,NA,-0.9775839,-0.99629214,-0.99255979,-0.99123689,-0.99299612,-0.98086373,-0.98855822,-0.99330783,-0.987177555,-0.983632355,-0.98384411,-0.99737578,-0.99321517,NA,NA,-0.98911204,NA,-0.99232509,-0.98347125,-0.94048633,-0.99537025,-0.99344678,-0.99369966,-0.99710792,-0.99547997,-0.99521373,-0.99367594,-0.99144435,-0.98732227,NA,NA,NA,NA,-0.99526122,-0.99267052,-0.97878334,-0.979502735,-0.986342095,-0.99401891,NA,NA
